Key,Value Type,Description
deviceId,String,device ID
deviceType,String,device type.Bot
power,String,ON/OFF state
battery,Integer,"the current battery level, 0-100"
version,String,"the current firmware version, e.g. V6.3"
deviceMode,String,"pressMode,switchMode, orcustomizeMode"
hubDeviceId,String,device's parent Hub ID
deviceId,String,device ID
deviceType,String,device type.Curtain
hubDeviceId,String,device's parent Hub ID
calibrate,Boolean,determines if the open position and the close position of a device have been properly calibrated or not
group,Boolean,determines if a Curtain is paired with or grouped with another Curtain or not
moving,Boolean,determines if a Curtain is moving or not
battery,Integer,"the current battery level, 0-100"
version,String,"the current firmware version, e.g. V4.2"
slidePosition,String,the percentage of the distance between the calibrated open position and closed position that Curtain has traversed
deviceId,String,device ID
deviceType,String,device type.Curtain3
hubDeviceId,String,device's parent Hub ID
calibrate,Boolean,determines if the open position and the close position of a device have been properly calibrated or not
group,Boolean,determines if a Curtain is paired with or grouped with another Curtain or not
moving,Boolean,determines if a Curtain is moving or not
battery,Integer,"the current battery level, 0-100"
version,String,"the current firmware version, e.g. V4.2"
slidePosition,String,the percentage of the distance between the calibrated open position and closed position that Curtain has traversed
deviceId,String,device ID
deviceType,String,device type.Meter
hubDeviceId,String,device's parent Hub ID
temperature,Float,temperature in celsius
version,String,"the current firmware version, e.g. V4.2"
battery,Integer,"the current battery level, 0-100"
humidity,Integer,humidity percentage
deviceId,String,device ID
deviceType,String,device type.MeterPlus
hubDeviceId,String,device's parent Hub ID
battery,Integer,"the current battery level, 0-100"
version,String,"the current firmware version, e.g. V4.2"
temperature,Float,temperature in celsius
humidity,Integer,humidity percentage
deviceId,String,device ID
deviceType,String,device type.WoIOSensor
hubDeviceId,String,device's parent Hub ID
battery,Integer,"the current battery level, 0-100"
version,String,"the current firmware version, e.g. V4.2"
temperature,Float,temperature in celsius
humidity,Integer,humidity percentage
deviceId,String,device ID
deviceType,String,device type.Smart Lock
hubDeviceId,String,device's parent Hub ID
battery,Integer,"the current battery level, 0-100"
version,String,"the current firmware version, e.g. V4.2"
lockState,String,determines if locked or not
doorState,String,determines if the door is closed or not
calibrate,Boolean,determines if Lock has been calibrated or not
deviceId,String,device ID
deviceType,String,device type.Smart Lock Pro
hubDeviceId,String,device's parent Hub ID
battery,Integer,"the current battery level, 0-100"
version,String,"the current firmware version, e.g. V4.2"
lockState,String,"determines if locked or not,jammed,unlockorlock"
doorState,String,"determines if the door is closed or not,openorclose"
calibrate,Boolean,determines if Lock has been calibrated or not
deviceId,String,device ID
deviceType,String,device type.Keypad
hubDeviceId,String,device's parent Hub ID
deviceId,String,device ID
deviceType,String,device type.Keypad Touch
hubDeviceId,String,device's parent Hub ID
deviceId,String,device ID
deviceType,String,device type.Motion Sensor
hubDeviceId,String,device's parent Hub ID
battery,Integer,"the current battery level, 0-100"
version,String,"the current firmware version, e.g. V4.2"
moveDetected,Boolean,determines if motion is detected
brightness,String,the ambient brightness picked up by the sensor.brightordim
deviceId,String,device ID
deviceType,String,device type.Contact Sensor
hubDeviceId,String,device's parent Hub ID
battery,Integer,"the current battery level, 0-100"
version,String,"the current firmware version, e.g. V4.2"
moveDetected,Boolean,determines if motion is detected
openState,String,"the open state of the sensor.open,close, ortimeOutNotClose"
brightness,String,the ambient brightness picked up by the sensor.brightordim
deviceId,String,device ID
deviceType,String,device type.Water Detector
hubDeviceId,String,device's parent Hub ID.000000000000when the device itself is a Hub or it is connected through Wi-Fi.
battery,Integer,"the current battery level,0-100"
version,String,"the current firmware version, e.g. V4.2"
status,Integer,"0, dry.1, leak detected"
deviceId,String,device ID
deviceType,String,device type.Ceiling Light
hubDeviceId,String,device's parent Hub ID.000000000000when the device itself is a Hub or it is connected through Wi-Fi.
power,String,ON/OFF state
version,String,"the current BLE and Wi-Fi firmware version, e.g. V3.1-6.3"
brightness,Integer,"the brightness value, range from 1 to 100"
colorTemperature,Integer,"the color temperature value, range from 2700 to 6500"
deviceId,String,device ID
deviceType,String,device type.Ceiling Light Pro
hubDeviceId,String,device's parent Hub ID.000000000000when the device itself is a Hub or it is connected through Wi-Fi.
version,String,"the current BLE and Wi-Fi firmware version, e.g. V3.1-6.3"
power,String,ON/OFF state
brightness,Integer,"the brightness value, range from 1 to 100"
colorTemperature,Integer,"the color temperature value, range from 2700 to 6500"
deviceId,String,device ID
deviceType,String,device type.Plug Mini (US)
hubDeviceId,String,device's parent Hub ID.000000000000when the device itself is a Hub or it is connected through Wi-Fi.
voltage,Float,"the voltage of the device, measured in Volt"
version,String,"the current BLE and Wi-Fi firmware version, e.g. V3.1-6.3"
weight,Float,"the power consumed in a day, measured in Watts"
electricityOfDay,Integer,"the duration that the device has been used during a day, measured in minutes"
electricCurrent,Float,"the current of the device at the moment, measured in Amp"
deviceId,String,device ID
deviceType,String,device type.Plug Mini (JP)
hubDeviceId,String,device's parent Hub ID.000000000000when the device itself is a Hub or it is connected through Wi-Fi.
voltage,Float,"the voltage of the device, measured in Volt"
version,String,"the current BLE and Wi-Fi firmware version, e.g. V3.1-6.3"
weight,Float,"the power consumed in a day, measured in Watts"
electricityOfDay,Integer,"the duration that the device has been used during a day, measured in minutes"
electricCurrent,Float,"the current of the device at the moment, measured in Amp"
deviceId,String,device ID
deviceType,String,device type.Plug
power,String,ON/OFF state
version,String,"the current Wi-Fi firmware version, e.g. V4.2"
hubDeviceId,String,device's parent Hub ID.000000000000when the device itself is a Hub or it is connected through Wi-Fi.
deviceId,String,device ID
deviceType,String,device type.Strip Light
hubDeviceId,String,device's parent Hub ID.000000000000when the device itself is a Hub or it is connected through Wi-Fi.
power,String,ON/OFF state
version,String,"the current BLE and Wi-Fi firmware version, e.g. V3.1-6.3"
brightness,Integer,"the brightness value, range from 1 to 100"
color,String,"the color value, RGB ""255:255:255"""
deviceId,String,device ID
deviceType,String,device type.Color Bulb
hubDeviceId,String,device's parent Hub ID.000000000000when the device itself is a Hub or it is connected through Wi-Fi.
power,String,ON/OFF state
brightness,Integer,"the brightness value, range from 1 to 100"
version,String,"the current BLE and Wi-Fi firmware version, e.g. V3.1-6.3"
color,String,"the color value, RGB ""255:255:255"""
colorTemperature,Integer,"the color temperature value, range from 2700 to 6500"
deviceId,String,device ID
deviceType,String,device type.Robot Vacuum Cleaner S1
hubDeviceId,String,device's parent Hub ID.000000000000when the device itself is a Hub or it is connected through Wi-Fi.
workingStatus,String,"the working status of the device.StandBy,Clearing,Paused,GotoChargeBase,Charging,ChargeDone,Dormant,InTrouble,InRemoteControl, orInDustCollecting"
onlineStatus,String,the connection status of the device.onlineoroffline
battery,Integer,the current battery level
deviceId,String,device ID
deviceName,String,device name
deviceType,String,device type.Robot Vacuum Cleaner S1 Plus
hubDeviceId,String,device's parent Hub ID.000000000000when the device itself is a Hub or it is connected through Wi-Fi.
workingStatus,String,"the working status of the device.StandBy,Clearing,Paused,GotoChargeBase,Charging,ChargeDone,Dormant,InTrouble,InRemoteControl, orInDustCollecting"
onlineStatus,String,the connection status of the device.onlineoroffline
battery,Integer,the current battery level
deviceId,String,device ID
deviceName,String,device name
deviceType,String,device type.Robot Vacuum Cleaner S10
hubDeviceId,String,device's parent Hub ID.000000000000when the device itself is a Hub or it is connected through Wi-Fi.
workingStatus,String,"the working status of the device.StandBy,Clearing,Paused,GotoChargeBase,Charging,ChargeDone,Dormant,InTrouble,InRemoteControl, orInDustCollecting"
onlineStatus,String,the connection status of the device.onlineoroffline
battery,Integer,the current battery level0-100
waterBaseBattery,Integer,the current battery level0-100
taskType,String,"the current task in progress.standBy,explore,cleanAll,cleanArea,cleanRoom,fillWater,deepWashing,backToCharge,markingWaterBase,drying,collectDust,remoteControl,cleanWithExplorer,fillWaterForHumi,markingHumi"
deviceId,String,device ID
deviceType,String,device type.Humidifier
hubDeviceId,String,device's parent Hub ID.000000000000when the device itself is a Hub or it is connected through Wi-Fi.
power,String,ON/OFF state
humidity,Integer,humidity percentage
temperature,Float,temperature in celsius
nebulizationEfficiency,Integer,atomization efficiency percentage
auto,Boolean,determines if a Humidifier is in Auto Mode or not
childLock,Boolean,determines if a Humidifier's safety lock is on or not
sound,Boolean,determines if a Humidifier is muted or not
lackWater,Boolean,determines if the water tank is empty or not
deviceId,String,device ID
deviceType,String,device type.Blind Tilt
hubDeviceId,String,device's parent Hub ID
version,Integer,the firmware version of the device
calibrate,Boolean,determines if the open and the closed positions have been properly calibrated or not
group,Boolean,determines if a Blind Tilt device is paired with or grouped with one or more devices of the same type or not
moving,Boolean,determines if the device is moving or not
direction,String,the opening direction of a Blind Tilt device
slidePosition,Integer,"the current position, 0-100"
deviceId,String,device ID
deviceType,String,device type.Hub 2
hubDeviceId,String,"Hub ID, equivalent to device ID"
temperature,Float,temperature in celsius
lightLevel,Integer,"the level of illuminance of the ambience light, 1~20"
version,String,"the current firmware version, e.g. V4.2"
humidity,Integer,humidity percentage
deviceId,String,device ID
deviceName,String,device name
deviceType,String,device type.Battery Circulator Fan
mode,String,"fan mode. direct mode:direct; natural mode: ""natural""; sleep mode: ""sleep""; ultra quiet mode: ""baby"""
version,String,"the current firmware version, e.g. V4.2"
battery,Integer,the current battery level
power,String,ON/OFF state
nightStatus,Integer,set nightlight status. turn off:off; mode 1:1; mode 2:2
oscillation,String,set horizontal oscillation. turn on:on; turn off:off
verticalOscillation,String,set vertical oscillation. turn on:on; turn off:off
chargingStatus,String,battery charge status.chargingoruncharged
fanSpeed,Integer,fan speed. 1~100
